[agrummer@zcufnal]$ ./uhal_string.py --fifo
     link 0      link 1  link 2      link 3    link 4  link 5
---  --------  --------  --------  --------  --------  --------
  0  dff0789f         0  acccccc0         0         0  ecdcffcf
  1  ffd8381f         0  acccccc0         0         0  fcfcffcd
  2  fff8189f         0  acccccc0         0         0  ccdcddc1
  3  ffd0189f         0  acccccc0         0         0  ccdcffc7
  4  fff8189f         0  acccccc0         0         0  ec9cffcd
  5  dff0389f         0  acccccc0         0         0  ccdcffef
  6  fff0188f         0  acccccc0         0         0  ecffffc5
  7  ffd0189f         0  acccccc0         0         0  fc9cfdcd
  8  dff8188f         0  acccccc0         0         0  fcfcffcf
  9  ffd8189f         0  acccccc0         0         0  ccfcffcd
 10  fff8388f         0  acccccc0         0         0  fcdcdccf
 11  fff838df         0  acccccc0         0         0  dcacffcf
 12  fff0188f         0  acccccc0         0         0  fcdcffcf
 13  fff0189f         0  acccccc0         0         0  fc5cdfcf
 14  fff0081f         0  acccccc0         0         0  ecdcffcf
 15  dff878df         0  acccccc0         0         0  fcfcffcf
 16  dff8189f         0  acccccc0         0         0  fc8fc8fc
 17  ffd0589f         0  acccccc0         0         0  dfcddfcd
 18  fff0181f         0  acccccc0         0         0  fccdffcf
 19  fff0189f         0  acccccc0         0         0  fce8dfef
 20  ffd0189f         0  acccccc0         0         0  dcdcffcf
 21  fff8989f         0  acccccc0         0         0  fcdcffcf
 22  ffd8189f         0  acccccc0         0         0  fefcffef
 23  fff8189f         0  acccccc0         0         0  fc7cffc7
 24  fff0189f         0  acccccc0         0         0  fcfcffcf
 25  fff8189f         0  acccccc0         0         0  ecdcfdcf
 26  dff8189f         0  acccccc0         0         0  cc7cffcf
 27  dfd0189f         0  acccccc0         0         0  fcfeffcf
 28  ffd838df         0  acccccc0         0         0  eefcffc7
 29  fff0189f         0  acccccc0         0         0  ecdcffcf
 30  fff0189f         0  acccccc0         0         0  cc9cffcf
 31  fff0189f         0  acccccc0         0         0  ecdcffef
 32  fff0189f         0  acccccc0         0         0  fcfcffcf
 33  ffd0f88f         0  acccccc0         0         0  fe9cffcf
 34  fff038df         0  acccccc0         0         0  fcfcffcd
 35  fff0189f         0  acccccc0         0         0  ecdcffcf
 36  ffd8188f         0  acccccc0         0         0  fe7cffcf
 37  fff8389f         0  acccccc0         0         0  dcecffcf
 38  fff8188f         0  acccccc0         0         0  dcdc7fcf
 39  ffd0389f         0  acccccc0         0         0  ecdcffcf
 40  ffd8189f         0  acccccc0         0         0  eeccfdc7
 41  dff0189f         0  acccccc0         0         0  fefcffcd
 42  fff0189f         0  acccccc0         0         0  e8dcffcf
 43  fff818df         0  acccccc0         0         0  ccdcffc1
 44  ffd8189f         0  acccccc0         0         0  fcfcdfcf
 45  fff0389f         0  acccccc0         0         0  fc5cffef
