       link 0  link 1      link 2    link 3  link 4      link 5
---  --------  --------  --------  --------  --------  --------
  0       nan  acccccc0       nan       nan  acccccc0       nan
  1       nan  acccccc0       nan       nan  acccccc0       nan
  2       nan  acccccc0       nan       nan  acccccc0       nan
  3       nan  acccccc0       nan       nan  acccccc0       nan
  4       nan  acccccc0       nan       nan  acccccc0       nan
  5       nan  acccccc0       nan       nan  acccccc0       nan
  6       nan  acccccc0       nan       nan  acccccc0       nan
  7       nan  acccccc0       nan       nan  acccccc0       nan
  8       nan  acccccc0       nan       nan  acccccc0       nan
  9       nan  acccccc0       nan       nan  acccccc0       nan
 10       nan  acccccc0       nan       nan  acccccc0       nan
 11       nan  acccccc0       nan       nan  acccccc0       nan
 12       nan  acccccc0       nan       nan  acccccc0       nan
 13       nan  acccccc0       nan       nan  acccccc0       nan
 14       nan  acccccc0       nan       nan  acccccc0       nan
 15       nan  acccccc0       nan       nan  acccccc0       nan
 16       nan  acccccc0       nan       nan  acccccc0       nan
 17       nan  acccccc0       nan       nan  acccccc0       nan
 18       nan  acccccc0       nan       nan  acccccc0       nan
 19       nan  acccccc0       nan       nan  acccccc0       nan
 20       nan  acccccc0       nan       nan  acccccc0       nan
 21       nan  acccccc0       nan       nan  acccccc0       nan
 22       nan  acccccc0       nan       nan  acccccc0       nan
 23       nan  acccccc0       nan       nan  acccccc0       nan
 24       nan  acccccc0       nan       nan  acccccc0       nan
 25       nan  acccccc0       nan       nan  acccccc0       nan
 26       nan  acccccc0       nan       nan  acccccc0       nan
 27       nan  acccccc0       nan       nan  acccccc0       nan
 28       nan  acccccc0       nan       nan  acccccc0       nan
 29       nan  acccccc0       nan       nan  acccccc0       nan
 30       nan  acccccc0       nan       nan  acccccc0       nan
 31       nan  acccccc0       nan       nan  acccccc0       nan
 32       nan  acccccc0       nan       nan  acccccc0       nan
 33       nan  acccccc0       nan       nan  acccccc0       nan
 34       nan  acccccc0       nan       nan  acccccc0       nan
 35       nan  acccccc0       nan       nan  acccccc0       nan
 36       nan  acccccc0       nan       nan  acccccc0       nan
 37       nan  acccccc0       nan       nan  acccccc0       nan
 38       nan  acccccc0       nan       nan  acccccc0       nan
 39       nan  acccccc0       nan       nan  acccccc0       nan
 40       nan  acccccc0       nan       nan  acccccc0       nan
 41       nan  acccccc0       nan       nan  acccccc0       nan
 42       nan  acccccc0       nan       nan  acccccc0       nan
 43       nan  acccccc0       nan       nan  acccccc0       nan
 44       nan  acccccc0       nan       nan  acccccc0       nan
 45       nan  acccccc0       nan       nan  acccccc0       nan
 46       nan  acccccc0       nan       nan  acccccc0       nan
 47       nan  acccccc0       nan       nan  acccccc0       nan
 48       nan  acccccc0       nan       nan  acccccc0       nan
 49       nan  acccccc0       nan       nan  acccccc0       nan
 50       nan  c9d40000       nan       nan  acccccc0       nan
 51       nan  3c134000       nan       nan  c9d40000       nan
 52       nan  adc5f40c       nan       nan  5426c000       nan
 53       nan  8f             nan       nan  adc5f40c       nan
 54       nan  7d             nan       nan  bf             nan
