ID: F
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              087                     110                     111        
Frame 0000    0001 00000000ccccff00  00001 0000000000000000  00001 0000000000000000
Frame 0001    0001 00000000ccccff00  00001 0000000000000000  00001 0000000000000000
Frame 0002    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0003    0001 0000000001800010  00001 0000000000000000  00001 0000000000000000
Frame 0004    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0005    0001 000000001fffa7fe  00000 0000000000000000  00000 0000000000000000
Frame 0006    0000 000000001fffa7fe  01101 0000000000000000  01101 0000000000000000
Frame 0007    0101 00000000ccccff00  00001 0000000000000000  00001 0000000000000000
Frame 0008    0001 00000000ccccff00  00001 0000000000000000  00001 0000000000000000
Frame 0009    0001 00000000ccccff00  00001 0000000000000000  00001 0000000000000000
Frame 0010    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0011    0001 0000000001000490  00001 0000000000000000  00001 0000000000000000
Frame 0012    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0013    0001 0000000035ffe3fe  00000 0000000000000000  00000 0000000000000000
Frame 0014    0000 0000000035ffe3fe  01101 0000000000000000  01101 0000000000000000
Frame 0015    0101 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0016    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0017    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0018    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0019    0001 0000000000000012  00001 0000000000000000  00001 0000000000000000
Frame 0020    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0021    0001 000000005fffe3be  00000 0000000000000000  00000 0000000000000000
Frame 0022    0000 000000005fffe3be  01101 0000000000000000  01101 0000000000000000
Frame 0023    0101 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0024    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0025    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0026    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0027    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0028    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0029    0001 000000007fff27fe  00000 0000000000000000  00000 0000000000000000
Frame 0030    0000 000000007fff27fe  01101 0000000000000000  01101 0000000000000000
Frame 0031    0101 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0032    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0033    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0034    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0035    0001 0000000000002410  00001 0000000000000000  00001 0000000000000000
Frame 0036    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0037    0001 000000004bffa45e  00000 0000000000000000  00000 0000000000000000
Frame 0038    0000 000000004bffa45e  01101 0000000000000000  01101 0000000000000000
Frame 0039    0101 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0040    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0041    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0042    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0043    0001 0000000021004010  00001 0000000000000000  00001 0000000000000000
Frame 0044    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0045    0001 0000000079ffa1fe  00000 0000000000000000  00000 0000000000000000
Frame 0046    0000 0000000079ffa1fe  01101 0000000000000000  01101 0000000000000000
Frame 0047    0101 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0048    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0049    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0050    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0051    0001 0000000001000412  00001 0000000000000000  00001 0000000000000000
Frame 0052    0001 000000000180001c  00001 0000000000000000  00001 0000000000000000
Frame 0053    0001 000000003fffa3fc  00000 0000000000000000  00000 0000000000000000
Frame 0054    0000 000000003fffa3fc  01101 0000000000000000  01101 0000000000000000
Frame 0055    0101 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0056    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0057    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0058    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0059    0001 0000000001000018  00001 0000000000000000  00001 0000000000000000
Frame 0060    0001 0000000001c00018  00001 0000000000000000  00001 0000000000000000
Frame 0061    0001 000000002fffe0fc  00000 0000000000000000  00000 0000000000000000
Frame 0062    0000 000000002fffe0fc  01101 0000000000000000  01101 0000000000000000
Frame 0063    0101 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0064    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0065    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0066    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0067    0001 0000000000004010  00001 0000000000000000  00001 0000000000000000
Frame 0068    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0069    0001 0000000011fe8678  00000 0000000000000000  00000 0000000000000000
Frame 0070    0000 0000000011fe8678  01101 0000000000000000  01101 0000000000000000
Frame 0071    0101 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0072    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0073    0001 00000000ccccff08  00001 0000000000000000  00001 0000000000000000
Frame 0074    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0075    0001 0000000001002010  00001 0000000000000000  00001 0000000000000000
Frame 0076    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0077    0001 0000000039ffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0078    0000 0000000039ffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0079    0101 00000000aa297ab9  00001 0000000000000000  00001 0000000000000000
Frame 0080    0001 00000000aa0cf297  00001 0000000000000000  00001 0000000000000000
Frame 0081    0001 0000000003233c97  00001 0000000000000000  00001 0000000000000000
Frame 0082    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0083    0001 0000000011400410  00001 0000000000000000  00001 0000000000000000
Frame 0084    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0085    0001 000000001fffe5fe  00000 0000000000000000  00000 0000000000000000
Frame 0086    0000 000000001fffe5fe  01101 0000000000000000  01101 0000000000000000
Frame 0087    0101 00000000032314d7  00001 0000000000000000  00001 0000000000000000
Frame 0088    0001 00000000a22c89f0  00001 0000000000000000  00001 0000000000000000
Frame 0089    0001 00000000a21f84f0  00001 0000000000000000  00001 0000000000000000
Frame 0090    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0091    0001 0000000001080010  00001 0000000000000000  00001 0000000000000000
Frame 0092    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0093    0001 000000007fffe3fe  00000 0000000000000000  00000 0000000000000000
Frame 0094    0000 000000007fffe3fe  01101 0000000000000000  01101 0000000000000000
Frame 0095    0101 00000000a22487b0  00001 0000000000000000  00001 0000000000000000
Frame 0096    0001 00000000a22687d0  00001 0000000000000000  00001 0000000000000000
Frame 0097    0001 00000000a2378ef0  00001 0000000000000000  00001 0000000000000000
Frame 0098    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0099    0001 0000000001100618  00001 0000000000000000  00001 0000000000000000
Frame 0100    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0101    0001 000000003fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0102    0000 000000003fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0103    0101 00000000a22e8b70  00001 0000000000000000  00001 0000000000000000
Frame 0104    0001 00000000e02f093f  00001 0000000000000000  00001 0000000000000000
Frame 0105    0001 00000000ffffffff  00001 0000000000000000  00001 0000000000000000
Frame 0106    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0107    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0108    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0109    0001 000000004fffe77e  00000 0000000000000000  00000 0000000000000000
Frame 0110    0000 000000004fffe77e  01101 0000000000000000  01101 0000000000000000
Frame 0111    0101 00000000a2288bd0  00001 0000000000000000  00001 0000000000000000
Frame 0112    0001 0000000002606c00  00001 0000000000000000  00001 0000000000000000
Frame 0113    0001 0000000011643c00  00001 0000000000000000  00001 0000000000000000
Frame 0114    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0115    0001 0000000001000412  00001 0000000000000000  00001 0000000000000000
Frame 0116    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0117    0001 000000007ffec7fe  00000 0000000000000000  00000 0000000000000000
Frame 0118    0000 000000007ffec7fe  01101 0000000000000000  01101 0000000000000000
Frame 0119    0101 00000000e02d8dff  00001 0000000000000000  00001 0000000000000000
Frame 0120    0001 000000000b52dc00  00001 0000000000000000  00001 0000000000000000
Frame 0121    0001 000000000450fc00  00001 0000000000000000  00001 0000000000000000
Frame 0122    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0123    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0124    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0125    0001 000000007fffe4fe  00000 0000000000000000  00000 0000000000000000
Frame 0126    0000 000000007fffe4fe  01101 0000000000000000  01101 0000000000000000
Frame 0127    0101 00000000ffffffff  00001 0000000000000000  00001 0000000000000000
Frame 0128    0001 0000000009224c00  00001 0000000000000000  00001 0000000000000000
Frame 0129    0001 0000000006e1bc00  00001 0000000000000000  00001 0000000000000000
Frame 0130    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0131    0001 0000000001000410  00001 0000000000000000  00001 0000000000000000
Frame 0132    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0133    0001 000000007fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0134    0000 000000007fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0135    0101 000000000350bc00  00001 0000000000000000  00001 0000000000000000
Frame 0136    0001 0000000004e11000  00001 0000000000000000  00001 0000000000000000
Frame 0137    0001 000000000711d400  00001 0000000000000000  00001 0000000000000000
Frame 0138    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0139    0001 0000000001000218  00001 0000000000000000  00001 0000000000000000
Frame 0140    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0141    0001 000000007fdde1be  00000 0000000000000000  00000 0000000000000000
Frame 0142    0000 000000007fdde1be  01101 0000000000000000  01101 0000000000000000
Frame 0143    0101 0000000003e0dc00  00001 0000000000000000  00001 0000000000000000
Frame 0144    0001 000000001284a000  00001 0000000000000000  00001 0000000000000000
Frame 0145    0001 000000000671a800  00001 0000000000000000  00001 0000000000000000
Frame 0146    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0147    0001 0000000001800400  00001 0000000000000000  00001 0000000000000000
Frame 0148    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0149    0001 000000007ffbe6fe  00000 0000000000000000  00000 0000000000000000
Frame 0150    0000 000000007ffbe6fe  01101 0000000000000000  01101 0000000000000000
Frame 0151    0101 0000000006616800  00001 0000000000000000  00001 0000000000000000
Frame 0152    0001 000000000ff3fc00  00001 0000000000000000  00001 0000000000000000
Frame 0153    0001 0000000005816800  00001 0000000000000000  00001 0000000000000000
Frame 0154    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0155    0001 0000000001000418  00001 0000000000000000  00001 0000000000000000
Frame 0156    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0157    0001 000000007fffe3fe  00000 0000000000000000  00000 0000000000000000
Frame 0158    0000 000000007fffe3fe  01101 0000000000000000  01101 0000000000000000
Frame 0159    0101 0000000005915c00  00001 0000000000000000  00001 0000000000000000
Frame 0160    0001 000000000b22b800  00001 0000000000000000  00001 0000000000000000
Frame 0161    0001 0000000005516400  00001 0000000000000000  00001 0000000000000000
Frame 0162    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0163    0001 0000000001200018  00001 0000000000000000  00001 0000000000000000
Frame 0164    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0165    0001 000000007fff67fe  00000 0000000000000000  00000 0000000000000000
Frame 0166    0000 000000007fff67fe  01101 0000000000000000  01101 0000000000000000
Frame 0167    0101 0000000005e16400  00001 0000000000000000  00001 0000000000000000
Frame 0168    0001 0000000005517800  00001 0000000000000000  00001 0000000000000000
Frame 0169    0001 0000000005f19800  00001 0000000000000000  00001 0000000000000000
Frame 0170    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0171    0001 0000000001000018  00001 0000000000000000  00001 0000000000000000
Frame 0172    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0173    0001 000000003bfe67fe  00000 0000000000000000  00000 0000000000000000
Frame 0174    0000 000000003bfe67fe  01101 0000000000000000  01101 0000000000000000
Frame 0175    0101 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0176    0001 0000000008b1fc00  00001 0000000000000000  00001 0000000000000000
Frame 0177    0001 0000000009927400  00001 0000000000000000  00001 0000000000000000
Frame 0178    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0179    0001 000000000100001a  00001 0000000000000000  00001 0000000000000000
Frame 0180    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0181    0001 000000004fffe3fe  00000 0000000000000000  00000 0000000000000000
Frame 0182    0000 000000004fffe3fe  01101 0000000000000000  01101 0000000000000000
Frame 0183    0101 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0184    0001 000000000ee3ac00  00001 0000000000000000  00001 0000000000000000
Frame 0185    0001 000000002d9b4c00  00001 0000000000000000  00001 0000000000000000
Frame 0186    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0187    0001 0000000001800008  00001 0000000000000000  00001 0000000000000000
Frame 0188    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0189    0001 000000001fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0190    0000 000000001fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0191    0101 0000000008a1f400  00001 0000000000000000  00001 0000000000000000
Frame 0192    0001 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0193    0001 000000000761e400  00001 0000000000000000  00001 0000000000000000
Frame 0194    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0195    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0196    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0197    0001 000000003bffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0198    0000 000000003bffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0199    0101 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0200    0001 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0201    0001 0000000007c1fc00  00001 0000000000000000  00001 0000000000000000
Frame 0202    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0203    0001 0000000001000090  00001 0000000000000000  00001 0000000000000000
Frame 0204    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0205    0001 000000007fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0206    0000 000000007fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0207    0101 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0208    0001 000000001785e400  00001 0000000000000000  00001 0000000000000000
Frame 0209    0001 0000000008920800  00001 0000000000000000  00001 0000000000000000
Frame 0210    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0211    0001 0000000001000010  00001 0000000000000000  00001 0000000000000000
Frame 0212    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0213    0001 000000005ffde77e  00000 0000000000000000  00000 0000000000000000
Frame 0214    0000 000000005ffde77e  01101 0000000000000000  01101 0000000000000000
Frame 0215    0101 0000000006317c00  00001 0000000000000000  00001 0000000000000000
Frame 0216    0001 000000000771c400  00001 0000000000000000  00001 0000000000000000
Frame 0217    0001 000000003ffffc00  00001 0000000000000000  00001 0000000000000000
Frame 0218    0001 0000000000000000  00001 0000000000000000  00001 0000000000000000
Frame 0219    0001 000000000100041c  00001 0000000000000000  00001 0000000000000000
Frame 0220    0001 0000000001800018  00001 0000000000000000  00001 0000000000000000
Frame 0221    0001 000000000fffe7fe  00000 0000000000000000  00000 0000000000000000
Frame 0222    0000 000000000fffe7fe  01101 0000000000000000  01101 0000000000000000
Frame 0223    0101 0000000000000000  00001 0000000000000000  00001 0000000000000000
